,tweets
1725,kiggundu : apologized challenge sign strength weakness . #ugandadecides
1726,"kiggundu : vehicle carrying voting material issue , others didn't make time . #ugandadecides"
1727,get pissed every tweet read today #ugandadecides . https://t.co/sqqqovzvbt
1728,speaking young man say voted besigye museveni sold slipper nigina espensively 2000 #ugandadecides
1729,@ugandaupf enanga claim house @kizzabesigye1 claimed vote rigging center actually police facility . #ugandadecides
1730,report suggest online activity censored people voted #ugandadecides #musevenidecides
1731,ntare school polling station : kb 135 m7 106 * * * #ugandadecides
1732,nabbingo poling station casted vote besigye 679 m7 310 #ugandadecides
1733,ha ! well played . #ugandadecides ? https://t.co/yx8tmm1ii1
1734,social medium act defiance hence breaking law tweeting . #ugandadecides
1735,ugandan public believe ? presidential candidate free man ? #ugandadecides https://t.co/viuowlwcbf
1736,kiggundu acting like wasn't aware pre ticked ballot paper today . #ugandadecides
1737,@winnie_byanyima elephant rampage . #ugandadecides
1738,#ugandadecides opposition leader @kizzabesigye1 speak electoral observer stos abt arrest . follow . . @ibtimesuk
1739,polling station . wow ! #ugandadecides https://t.co/pqq7w840xy
1740,": fdc presidential candidate kizza besigye freed , according lawyer , following ' arrest ' #ugandadecides"
1741,#kiggunduresignnow #ugandadecides time don't know work
1742,generation witness wave different leadership uganda ? retire ? #ugandadecides
1743,big @933kfm . listening right . thanks narrative witness naguru #ugandadecides
1744,"kiggundu : vehicle carrying voting material issue , others didn't make time , hence delay #ugandadecides"
1745,"#ugandadecides , arrest probable president worst intimidation man faced worst still election day"
1746,voted #ugandadecides @letgirlsvote #yourvoteyourfuture @iyopug @undemocracyfund @wabwire1 @genderplatform @theoddballz #leadership
1747,"even vote still trickling , #uganda ? ? ? top opposition candidate arrested : https://t.co/3zyha0vfm2 #ugandadecides"
1748,kiwatule cou be : 1531 m7 : 869 * * * #ugandadecides
1749,hope see soon president @kagutamuseveni #ugandadecides
1750,@cobbo3 used think minority bypass kit . everywhere turn hear vpn . #ugandadecides
1751,glad kiggundu still exercising right humorous #ugandadecides
1752,ec chairman making hopeless excuse ballot paper delayed ! ask #uneb good thing he's retiring #ugandadecides
1753,naye kiggundu ! ! ! #ugandans someday escort #ec . . . . hope apology . . . . #ugandadecides
1754,"reporter : mr . kiggundu , power fm . . . kiggungu : aw thought power 10 #ugandadecides"
1755,doesnt add . . . #ugandadecides https://t.co/q5clljthh6
1756,#kampala doubt massive go besigye . station museveni doesnt even get half besigye #ugandadecides https://t.co/4otfler4ye
1757,anything . people need extra vigilant close polling today close voting tomorrow . #ugandadecides
1758,soroti & serere district don't disappoint . @kizzabesigye1 leading #ugandadecides teso enough dictatorship .
1759,nakikoota playground besigye : 250 museveni : 225 #ugandadecides
1760,"need story behind "" rigging safehouse "" . sound sinister . #ugandadecides"
1761,"29 year power , economy regressed , still think solution future . . . #ugandadecides"
1762,"kiggundu "" eno kibuga . . . omanyi eno traffic . . . . "" ah ah ah ah please stop talking smh @ugandaec #ugandadecides"
1763,besigye might spending night cell today spend state house saturday . #ugandadecides
1764,@nbstv museveni : blocking social medium site mm service done interest national security #ugandadecides
1765,"agree . democracy , even farce we've past year strives transparency . #ugandadecides https://t.co/srtwme0z2b"
1766,"kiggundu delayed arrival material : vehicle carrying voting material issue , others didn't make time . #ugandadecides"
1767,it's #musevenidecides #ugandadecides pity . .
1768,lolest #ugandadecides https://t.co/xdtugjcqoa
1769,"please give #kiggundu water . reading result next day . ion : german go voting , winner known hour . #ugandadecides"
1770,rwampara mp aspirant mr . charles ngabirano vicent kyamadidi found pre-ticked ballot paper . #ugandadecides
1771,including cow ! #kiggunduresignnow #ugandadecides https://t.co/tpcpxjwwzx
1772,#ugandadecides munch
1773,#ugandadecides #trending speaks volume ranking international scene . still love #myuganda
1774,30 year unbelievable ! #ugandadecides
1775,hail queen comeback ! ! ! #ugandadecides https://t.co/omn8uxgkbu
1776,"station following election , @wbstvug playing luganda music . give . #ugandadecides #ugandaelections"
1777,ugandan mock attempt censor online activity https://t.co/plcrffmjui via @bbcnews #ugandadecides
1778,first time life cast avote time special #ugandadecides #internetninjaz work
1779,stop silencing brutalising brother sister #ugandadecides #ugandaelections
1780,"ugandan presidential challenger kizza besigye freed , lawyer say - afp https://t.co/qaekmpowv0 #uganda #ugandadecides #africa"
1781,critical #ugandadecides https://t.co/brhcltvrql
1782,"#ugandadecides polling drama , pre-determined winner , wastage taxpayer money"
1783,""" "" mighty mean "" tension "" . . otw full * value added tension * #ugandadecides https://t.co/ar1ebbrufy"
1784,"facebook twitter seem back , without go around blockage . #ugandadecides"
1785,kigundu shd jst b sckd 4 incompitence . . . plnnd 4 elctns 4 clse 2 year hw cn nt b enuf material #ugandadecides #ugandaelections
1786,think agree @ugandaec failed country completely . #ugandadecides https://t.co/vvdozxkaia
1787,@winnie_byanyima @ntvuganda total agreement resignation call . @ugandaec prepare ? #ugandadecides
1788,making president . hustle gone #ugandadecides https://t.co/1qe1lpxvm9
1789,"thinking ð ? ¸ ð  ¥ @ucc_official put back everyone online , nolonger make sense #ugandadecides"
1790,fooling #ugandadecides internet blocked n esp social medium @ucc_official state institution https://t.co/84av1hz83i
1791,"lol ð ? ¸ ð ? ? #breaking museveni win landslide . managed get 32 million vote 28 million registered voter . #ugandadecides """
1792,playing catch ! must get ugandan registered get vote ! #ugandadecides https://t.co/hcwme0ejmw
1793,"afp : ugandan presidential challenger kizza besigye freed , lawyer say #ugandadecides"
1794,@ntvuganda museveni decides #not ugandadecides
1795,ugandan favor & resign . #kiggunduresignnow #ugandadecides https://t.co/8dtzq2ve9r
1796,kiggundu talking hearing need change need change need change kiggundu . . . kindly exit . . #ugandadecides . . . .
1797,trying get sucked #ugandadecides - yet
1798,@ugandaec thanks putting u back online #ugandadecides prepare lawyer
1799,#ugandadecides : facebook whatsapp ? ? blocked https://t.co/8eaclxzfnc https://t.co/fmtgmlyovx
1800,keep u updated event unfold rt @jeffsauke : facebook back uganda besigye released . #ugandadecides
1801,#ugandadecides : facebook whatsapp ? ? blocked https://t.co/e6sin8mojn https://t.co/wtw6mbdy2u
1802,covered shall transmitting result released ec real time https://t.co/1mcltundnp ? ? ­ #ugandadecides
1803,today uganda synonym defiance vpn #ugandadecides
1804,ah . . bae come back later #ugandadecides done ? https://t.co/hwgqiknyu9
1805,""" @catherinenalule : besigye going 2 b winning go bed , time wake museveni swearing #ugandadecides "" haha"
1806,provisional result please . stay calm peaceful . #ugandadecides #ipledgepeaceug https://t.co/ldfmetshhk
1807,"besigye gonna lead go bed , wake , museveni swearing . #ugandadecides"
1808,@kagutamuseveni child born first came power grandma grandpa . when'll allow uganda free ? #ugandadecides
1809,@nbstv video : footage kizza besigye arrested . #ugandadecides https://t.co/axhtdsxmc6
1810,matter impossible seemed citizen still showed today n fought heard #ugandadecides https://t.co/jliqelrx9s
1811,"commission suspends polling 14 polling station kla makindye division , & 22 polling station wakiso ( kyebando ) #ugandadecides"
1812,main opposition presidential candidate kizza besigye taken home police #ugandadecides #ugandaelections #ugandavotes
1813,"geographically far , yet still intimately connected uganda . no-work day , well ! still #ugandadecides #musevenidecide ?"
1814,least isn't happening : rt @ntvkenya : #breaking ugandan presidential challenger kizza besigye freed #ugandadecides
1815,@julimuffn doesn't look real . can't . #ugandadecides
1816,@ntvkenya funny democracy executed #ugandadecides
1817,"museveni polling station . fact , whole sub-county . #ugandadecides"
1818,supposed ? ? wait ec aren't good time keeper ? #iamuganda #ugandadecides https://t.co/matfkdnguz
1819,don't think i've ever prouder ugandan like today . people turned vote scorching kla sun . #ugandadecides
1820,""" @nicktweet2016 : : police say besigye arrested , escorted home #ugandadecides """
1821,get proof please ? ? need certain . #ugandadecides https://t.co/m28z23ru0g
1822,#musevenidecides #ugandadecides total 100 % meaning main opposition leader kizza besigye voted ? @kizzabesigye1 https://t.co/nir2qjuhgi
1823,shd ! mass voter disenfranchisement cant allowed ! #ugandadecides https://t.co/e7i96bwbsz
1824,ugandan youth seize #ugandadecides #m7decides ? wave power change led fromm street ?
1825,"i'm afraid ugandan dissappointed way kenyan 2007 ; besigye good result soo far , tide turn ? #ugandadecides"
1826,"alert ! ! 14 polling station makindye division , 22 wakiso district vote tomorrow say ec chairman ! #ugandadecides"
1827,medium house shld ignore . #kiggunduresignnow #ugandadecides https://t.co/ovmagfkysp
1828,"@anishauwase ghost voted ? however much rigged , hahaha #ugandadecides #ugandaelections #besigyewon"
1829,lol rt @933kfm : provisional result @ rushere primary school bwanika museveni : 760 besigye : 2 others : 0 #ugandadecides
1830,"@robertnford @carolnatukunda besigye leading central , split western region far , follow > > #ugandadecides"
1831,kiggundu stopped medium house displaying provisional result . #ugandadecides
1832,bbc news - uganda election : facebook whatsapp blocked https://t.co/7offxl4pjk #ugandadecides
1833,shame ! total let country . #kiggunduresignnow ! #ugandadecides https://t.co/vipnwfztea?? ­ https://t.co/7ms1h9iue3
1834,#uganda #socialmedia platform blocked https://t.co/dg8kefjqkt #ugandadecides #ugandaelections #freedomofexpression @shirokiambo
1835,took u long say ? ? ? #ugandadecides https://t.co/pyooaus8xx
1836,whole world view #ugandadecides hashtag except ugandan ð ? ¸ ð ? ?
1837,@anishauwase . u tweet serere . . . u wanking karo #ugandadecides
1838,? ? ? ð ? ¸ ð ? ¥ ð ? ¸ ð ? ¥ ð ? ¸ ð ? ¥ #ugandadecides https://t.co/encxiidbsz
1839,@hashim11 mean u haven't voted yet ? let ask @gaetanokagwa finally cast vote gae u u 4 2 moro 2 ? #ugandadecides
1840,. . democracy ! ! ! #ugandadecides https://t.co/i2xzk9dhc9
1841,#noktribetv live update : uganda presidential election result ( #ugandadecides ) : ugandan thurs . . . https://t.co/tptgakwuwa #noktribetv
1842,tight race uganda election . 1 . yoweri 32 % 2 . kaguta 28 % 3 . museveni 28 % 4 . others 12 % #ugandadecides
1843,#noktribetv #ugandadecides : uganda opposition candidate besigye arrested alleging rigging ( p . . . https://t.co/az7kb1a3ay #noktribetv
1844,hamwaro polling station noozi kabale : besigye 145 museveni 126 amama 2 invalid 10 rest zero #ugandadecides
1845,uganda election result : latest update election #ugandadecides https://t.co/cplxnjzp57 https://t.co/ljqa9etzr6
1846,opposition's last hope unlikely run-off pit @kagutamuseveni kizza besigye #ugandadecides #musevenidecides
1847,@ugandaupf try seen ; deliver justice one tell #ugandadecides continue peaceful
1848,ayaya . village . nabo bakowu . #ugandadecides https://t.co/ap19vhxjqc
1849,"@ntvuganda #ugandadecides , late mpagi's home busabala road besigye got 1049 vote , museveni 433 vote"
1850,museveni heard nakasongola result . #ugandadecides https://t.co/v2ufawzodj
1851,#provresultsug official result announced ec #ugandadecides
1852,"@ugandaec called volunteer help , transport ballot box polling station e-day ? ð ? ¸ ð ?  #ugandadecides #cantmakethisshitup"
1853,@timmytdat dating @kush_tracey ? ? read https://t.co/tpob9fkn39 #ugandadecides https://t.co/0y74mvdotf
1854,"guess time learn pronounce "" besigye "" #ugandadecides"
1855,makerere #ugandadecides https://t.co/kkzvtwt2xb
1856,"#ugandaelections social medium blocked voting day president stop public spreading "" lie "" #ugandadecides mmmm ? ? ? ? ? clearly"
1857,dare fdc tweet result buhweju subcounty . #ugandadecides masturbating central region result .
1858,#media right & duty report result come . shd clearly state they're provisional & add context . #ugandadecides
1859,"@kagutamuseveni hope lose time around , you'll follow example @gejonathan nigeria . #ugandadecides #ugandaelections"
1860,retweeted sudhir byaruhanga ( @sudhirntv ) : #ugandadecides electoral commission conduct poll tomorrow . . . https://t.co/fbs85sc8bo
1861,kenya one tweet without internet #ugandadecides
1862,#ugandadecides 2 must go vote instead making noise twitter @joydoreenbiira @matsangadr
1863,"access twitter , whatsapp facebook uganda use tunnelbear vpn . impossible suppress technology #ugandadecides #ugandaelections"
1864,"think blocking social medium , uganda going ensure entire country learns vpn one day . #ugandadecides"
1865,@bbcafrica don't know covering social medium blackout uganda ? ! relevant ? #ugandadecides
1866,st . paul's church katuuso voting material haven't arrived ð ? ¸ ð ? ? #ugandadecides
1867,@thetunnelbear service highly appreciated . saved day #ugandadecides https://t.co/ntouqtdhhh
1868,uganda get new president museveni either dy forced office . #ugandadecides another sham rigged election
1869,honestly believe ugandan entitled explanation also apology delay #ugandadecides
1870,@askec2016 @ugandaec share accurate data ( surely u ) magnitude voting delay . help credibility . #ugandadecides
1871,#ugandadecides electoral commission warns possible rigging #ugandaelections https://t.co/vzex2zx4iv
1872,#ugandadecides heavy rain disrupted voting gulu & nyorwa northern uganda . voter polling agent flee shelter .
1873,m7 never threatened losing power year's election . old man shaken cuticle . #ugandadecides #musevenidecides
1874,opposition candidate asking supporter use vpns access social medium government shutdown ' security reason ' #ugandadecides
1875,"uganda communication commission block facebook , twitter , whatsapp , mobile money service due ' security reason ' #ugandadecides"
1876,"#ugandadecides 12 noon - official finally , empty ballot box - ballot yet ! can't vote yet ! sad !"
1877,voter kubiri-wandegeya waiting since morning vote . #ugandadecides
1878,"social medium ' blocked ' uganda , someone tell shall follow uganda election . . . #ugandadecides"
1879,"never know , uganda might cancel election ' security reason ' #ugandadecides"
1880,#ugandadecides remember : bcoz u hav interest politics doesn't mean interest https://t.co/ot0qg8ur1u
1881,"gag people , stronger resolve vote ! #ugandadecides https://t.co/ep4hqqj0b4"
1882,voting line already kong however ballot box yet time 11 : 56 #ugandadecides https://t.co/amgwcmwbd0
1883,comingg midday . . . sign ballot paper . . . #ugandadecides gombe'a cathoric ch + . . . wakiso 11.55
1884,. @ugandaec 2 extend closing time . pple w / critical job 2 must allowed & get back vote #ugandadecides #decency
1885,many #ugandans complaining can't access @twitter @facebook @whatsapp #ugandadecides
1886,"presidential candidate @mabiriziej also cast vote , dint need id location slip . #ugandadecides"
1887,u born 97 allowed vote yet 18 verified name register #ugandadecides
1888,happening #ugandadecides
1889,download vpn app unblock social medium apps whenever get normal internet access #ugandadecides
1890,smell trouble distance #ugandadecides https://t.co/d6auwkg0ff
1891,yes standby cz see teargas around corner #ugandadecides https://t.co/llctkj8wwq
1892,#iwillnotbesuprised museveni win ; taken man overthrow sitting president / #ugandadecides #ugandaelections
1893,still none empty box ! 11.55 #topowa #ugandadecides #kiruddubuziga https://t.co/vytpuhr3xj
1894,"help ugandan get back onto whatsapp , twitter , fb . mail tip would help . many still dark . #ugandadecides https://t.co/dfnzdibs3p"
1895,five hour late receiving ballot paper makindye east #ugandadecides
1896,would good idea @twitter rollout speak tweet like eygpt 2011 . lockdown fought . #ugandadecides
1897,presidential candidate joseph mabirizi cast vote zana entebbe road . #tuongeefinallap16 #tuongee207 #ugandadecides #votesevo
1898,follow @ceonuganda like page https://t.co/dewq5cvbym update #ugandadecides https://t.co/zkfa1bw8om
1899,one man responsible confusion #ec head badru kiggundu & one man gaining yoweri museveni #ugandadecides
1900,"@larrymadowo @ramaisibo thats problem social medium elite jus drop see , & vpn bet no1 know ! ! #ugandadecides"
1901,"frustrated voter . time check 12 : 00 pm voting material bunga , ggaba buziga yet ! #ugandadecides https://t.co/ilcwnxkkyd"
1902,m7 blocked uganda rest world ! #ugandadecides https://t.co/ee9fheek0z
1903,said together . . shall silenced ! voice shall heard ! #ugandadecides
1904,highly speculated number voting going reduce bcuz name altered #ugandadecides
1905,military vehicle outside kira road police station . @dwnews #ugandadecides https://t.co/hahl9adonj
1906,delay delivering voting material time bomb chaos waiting happen . @ugandaec reap sow . #ugandadecides
1907,#mbabazi explains access blocked site https://t.co/iquvky7hbi #ugandadecides
1908,take pic let u show stupidity #ugandadecides https://t.co/bvgougkzae
1909,#ugandadecides already marked ballot paper ! social medium ! pollng sttions nt yet opened ! recipe 4 disaster ! https://t.co/orffvojyhy
1910,""" citizen need 2 become assertive & ensure vote long voter registrar . "" @ritaaciro @ceonuganda #ugandadecides"
1911,opposition leader come close win . imprisoned . . . better doesn't #ugandadecides
1912,hmmm ! apparently don't need diaspora disenfranchised ! @ugandaec #ugandadecides #incompetence https://t.co/gklxobfllp
1913,"#davidmatsaga full sh . . t , stop hiding nairobi . go vote uganda . ktn you're annoying #ugandadecides ."
1914,opposition candidate asking supporter use vpns access social medium government shutdown ' security reason ' #ugandadecides
1915,someone give update #ugandadecides mbarara regard voting material delivery . @smsmediauganda @tvwestug @ugandaec
1916,security reason foot . #ugandadecides https://t.co/k0w81fyroi
1917,uganda communication commission confirm blocking social medium & mobile money service security reason #ugandaelection2016 #ugandadecides
1918,#ugandadecides heavy rain disrupted voting gulu & nyorwa northern uganda . voter polling agent flee shelter .
1919,' election defiance ! ' - besigye . proof need know m7 wont play fair ? #ugandadecides
1920,"11 : 55 - "" exactly need vote change "" someone tell "" look "" . . kampala - #noballots #ugandadecides"
1921,#ivoted #appalling station . @ugandaec need style . mazima basin 21 st century ? ! ð ? ¸ ð ? ? #ugandadecides https://t.co/ay1hsyqmfu
1922,#ugandadecides addicted social medium . cloud vpn ( virtual private network ) solution . #ichoosepeaceug
1923,where's concrete mixer ? rt @ntvuganda : don't enough delivery truck - kiggundu #ugandadecides https://t.co/zmij8swmyx
1924,11 : 50 ggaba tc polling station haven't sn voting material & sign vote . #ugandadecides https://t.co/pdtlfhiwtu
1925,"kampala , upcountry ? #ugandaelections #ugandadecides @dailymonitor @newvisionwire https://t.co/fi793ua9dw"
1926,ucc shutdown internet access today . #ugandadecides #ugandaelections . obviously tech savvy access ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? #stoneage
1927,"church zone kasanga : nothing . . voting material , people walking away #ugandadecides"
1928,"ugandan need change , need fresh leadership respected including electoral commission #ugandadecides"
1929,wish ugandan peace wisdom bid regain dignity country . best #ugandadecides #ugandaelections #uganda
1930,reason shut social medium network uganda allow social medium addict vote ! imagine thing #ugandadecides
1931,"apparently , social medium shut precaution election . come , cant stop tech easy . #ugandadecides"
1932,i'm hoping peaceful fair election day uganda - despite repeatedly unfair treatment opposition #ugandadecides
1933,"look pothole u're standing , tired desk official sit , bucket , & basin u're 2 use . vote #ugandadecides"
1934,local television transmission messy well election day . #ugandadecides
1935,"way thing going , don't think kampala vote . #ugandadecides"
1936,peaceful election nation ? ? ? ð ? ý ð ? „ ð ? ý ð ? í #ugandadecides https://t.co/dpmyqw01qi
1937,earlier : presidential candidate @mabiriziej cast vote lufuuka playground #ugandadecides ( credit : urn ) https://t.co/9kyarn81xj
1938,"presidential candidate , joseph mabirizi cast vote polling station zzana #ugandadecides https://t.co/died9hzd3l"
1939,maturity exercising right vote . #ugandadecides #ugandaelections https://t.co/hbc51obvgg
1940,#ugandadecides lol opp party @fdcofficial1 & candidate @amamambabazi tip get past social medium block https://t.co/yowvv5fpe9
1941,"#ugandadecides , social medium ie facebook twitter blocked unknown reason #peace ."
1942,balloting going normally bukoto station . #ugandadecides p . cannot ban phone internet ! https://t.co/3ja9o6kfn4
1943,@ugandaec enough delivery truck ? oh please . put new @ugandaupf vehicle work . even cement mixer #ugandadecides
1944,shut social medium tense election creates info vacuum & make propaganda rife little feedback possibility #ugandadecides
1945,@c_nyakundih attacked kenyan dj . think ? https://t.co/drovcdg2ut #ugandadecides #whytourkenya2016 #whytourkenya2016
1946,"twitter facebook , mobile money switched uganda . it's accessible via "" vyprvpn "" app . tell everyone #ugandadecides"
1947,@stellawaafrika guy blocked sicial medium mobile money . turned vpns communicate #ugandadecides
1948,good morning uganda ! may peace prevail ? ? ? ? ?  #peaceinuganda #ugandadecides
1949,omg finally man mabiriizi vote . look like ticked besigye #ugandadecides
1950,"beautiful tree-lined polling area crested hotel , jinja . thing progressing little fuss #ugandadecides https://t.co/0fobs4ljih"
1951,"people distributing sugar , salt . . . kireka arrested . #ugandadecides"
1952,@hashim11 keeping pushing #ugandadecides #ugandaelections
1953,ugandan started voting yet ? #ugandadecides
1954,#ivoted @ntvuganda @nbstv way voting make feel responsible . like you're part great cause . #ugandadecides
1955,"3 hour wait , finally made first choice next 5 year #ivoted #ugandadecides https://t.co/swaztznntp"
1956,know go cast vote . #ugandadecides https://t.co/qyuniardfq @ugandaec
1957,@winnie_byanyima @dailymonitor @theobserver mabirizi finally cast vote #ugandadecides
1958,guy try #ugandadecides #uganda https://t.co/vzdottxjkh
1959,"eng . badru kigundu , sleep night ? #ugandadecides"
1960,11 : 52 voting yet start polling station #ugandadecides https://t.co/sjxgf7mg1k
1961,name kid wisely . - k line usually shorter #ugandadecides @maximum_mat @pearlaber
1962,#ugandadecides information-controls counter-controls . https://t.co/95yrwuox9j
1963,. @jssozi quickly check total number voter polling station . data . #ugandadecides https://t.co/0ckg4qkixy
1964,mabirizi voting successfully live @ntvuganda #ugandadecides
1965,thinking praying uganda go polling station today . whatever outcome may peace prevail ! #ugandadecides
1966,. @dfkm1970 show foot . want see properly dressed might follow #ugandadecides
1967,jubilee sycophant fugitive @matsangadr still kenya instead going vote country #ugandadecides
1968,well tunnelbear excellent #ugandadecides .
1969,communication social medium network #uganda seem jammed morning . #ugandadecides @ntvuganda
1970,"angry voter throwing stone police bulenga , mityana road , ballot received #ugandadecides"
1971,watching afar interest hope #ugandadecides !
1972,who's playing internet ? social medium site seem inaccessible . #ugandadecides
1973,couldn't get access twitter used vpn . #ugandadecides
1974,"church zone kasanga : nothing . . voting material , people walking away @nellykapo #ugandadecides"
1975,that's it's kapuka fact #ugandadecides https://t.co/rqvbpeuhqr
1976,"old people ar walking home energetic youth stay behind 2 brave heat & wait 4 ballot , u think theyll vote ð ? ¸ ð ? ? #ugandadecides"
1977,call within uganda apparently scheduled shut 2 pm today . citing security measure . #ugandadecides
1978,"voting started #ugandadecides , widespread reporte lack ballot material angry crowd #nansana follow @cathkemi"
1979,well stated #ugandadecides https://t.co/qp1gwheie9
1980,@twitter x @facebook going viral @whatsapp @uganda uganda communication comission #ugandadecides #teamdjmckenzieug2016
1981,know u ugandan . #ugandadecides https://t.co/gq8sffdc3h
1982,ucc forgot block ugandan outside country . nosying going outside #ugandadecides shd cause concern .
1983,vpn candidate . #ugandadecides https://t.co/ian7go8kmf
1984,"woman nb nothing todo . seems bored . lol , happy voting uganda . goodnight fellow american #ugandadecides"
1985,"uganda communication commission wanted tweet blocking twitter #ugandadecides "" security reason "" remembered . ."
1986,@mbayeye_ u don't vote suffer feel guilty done simple civil duty #ugandadecides
1987,"yes tweeting , real voter majority hear rumour twitter fb back village #ugandadecides"
1988,"pal , diarize & share #wordfest2016 #doz2016 date dear one . #whytourkenya2016 #ugandadecides https://t.co/cxq8xlxbi3"
1989,new vote rigging stunt = voter frustation ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides #ugandaelections
1990,? social medium switched ' security reason ? ' someone pinch ! #rigginginprogress #ugandadecides https://t.co/8woqxifvnq
1991,report coming people beginning protest ballot paper still arriving . could escalate . come . #ugandadecides
1992,obvious museveni remain power #ugandadecides
1993,"hear nb ucc shut whatsapp , facebook , twitter mobile money . security reason #ugandadecides"
1994,"say , saw one coming guess save data today #ugandadecides https://t.co/ceayqivzse"
1995,"social medium blocked uganda , zari ? ? #ugandadecides"
1996,museveni heard #ugandadecides https://t.co/umkqyhnrpj
1997,let go vote #ugandadecides
1998,@ugandaec @redpepperug started voting bse ballot box without cover coming midday what's happening #ugandadecides
1999,true ? get recent news ? anybody #ugandadecides #uganda
2000,@sammythuku2 @dailynation @nationbreaking museveni life #ugandadecides
2001,no-one ec come blame delay communication glitch caused ucc . delayed payment coz mm . #ugandadecides
2002,need stats one place . #ugandadecides https://t.co/o0skiz4rmy
2003,"injustice becomes law , resistance becomes duty - thomas jefferson . #ugandadecides"
2004,journalist friend #uganda say ' they're busy stuffing ballot . ' #ugandadecides
2005,@omaradaniel @aljazeerapr @bbc africa @cnn @nytimes @reuters true social medium apparently ug #ugandadecides
2006,disconnected jus let go #mtnidemandanapology #ugandadecides #ugandadecides .
2007,@mtnug munveeko ð ? ¸ ð ? ” ð ? ¸ ð ? ” . vodafone working well . #ugandadecides https://t.co/a1abecezqp
2008,"i'm whatsapp grp chatting diaspora , r asking nkikola ntya , told work state house . . #vpn #ugandadecides"
2009,it's twin thing #ugandadecides https://t.co/m3oqg0du2w
2010,hahah way beat system ! fyi #ugandadecides #ugandaelections https://t.co/cvd1n39dsm
2011,13 % vote ? true kla wakiso material late ? true also opp . stronghold #ugandadecides
2012,opposition candidate asking supporter use vpns access social medium government shutdown ' security reason ' #ugandadecides
2013,tweet behalf . . strong bro . #ugandadecides https://t.co/onne3ojtf5
2014,"#ugandadecides dede . problem accessing social medium ? try using cloud vpn , follow link . https://t.co/jfsbqxewhp"
2015,@j_paulosky please confirm social medium internet running #ugandadecides
2016,unfortunately vpn mobile money . . . . lol #ugandadecides
2017,never dull moment uganda ! #ugandadecides #uchaguziuganda #uchaguzi2016 https://t.co/sa9uhoa8ac
2018,"foregoing week-long career workshop handsome pay , travelling 150 mile 2 polling station & & ? unacceptable ! #ugandadecides"
2019,#ugandadecides though many polling station began late ( still waiting ) ec say long ur queue 4 pm u get vote
2020,@aldo1729 @nbstv okware pray god bless uganda #ugandadecides
2021,"still issue social medium , install spotflux ( android ) , onavo io tunnelbear . #ugandadecides"
2022,#news rt ajenglish : #ugandadecides today ? ? ? covering polling day snapchat malcolmwebb follow : ? ? ­ https://t.co/dxtr2ieqvf
2023,10 brought empty box . it's coming midday . voting material kyebando . i'm frustrated voter . #ugandadecides @ntvuganda
2024,"bweyogerere central polling station , lady consolata catholic church voting taking place yet #ugandadecides https://t.co/eecqvri5w4"
2025,#ugandadecides despite kayi-horror nigga thrive !
2026,blocking social medium network work m7 ' rigging ' election #ugandadecides au counterpart adopt . africa afraid
2027,#african dictator resort bid cling power . #uganda kick dinosaur . #ugandadecides https://t.co/rolvwek5cz
2028,hotspot shield vpn proxy addon chrome need . . . go desktop app #ugandadecides
2029,correct . polling station haven't starter voting yet mainly kampala . #ugandadecides https://t.co/aozffyw4kp
2030,wishing ugandan peaceful election #ugandadecides @hkstrategiesug
2031,fellow ugandan's #ugandadecides letz vote @kizzabesigye1 @fdcofficial1 & anita 4 bukedea #wesigybesigye freedom coming
2032,kunno si kulonda kumanyaganya ! ! electoral material yet 11 : 50 catching old friend . #ugandadecides #topowa
2033,praying peace ugandan go poll https://t.co/cj6z49tvyd via @sharethis #ugandadecides
2034,contact @dailymonitor reporter editor situation area #ugandadecides https://t.co/k96apszyi7
2035,10 yr road student studying event history syllabus qn 1 ; describe 2016 #ugandadecides phenomenon
2036,"social medium outage , late delivery voting material . . . let's hope ugandan able freely exercise voting right #ugandadecides"
2037,"material katwe . people riot , police called . #steadyprogress #ugandadecides https://t.co/pj7hdksxov"
2038,"#ugandadecides one seen clip #babashon . wife caught cheating husband , house ! #whytourkenya2016"
2039,"poor folk , hope future prayer . god strike m7 lightening #ugandadecides"
2040,time stood queue far 5 hour 40 minute ! ! #ugandadecides #ugandaelections
2041,@ugandarn arrive total 2228 voter mulawa polling station ? @enamara @tmsruge #ugandadecides https://t.co/eid6mfxvdl
2042,"11 : 50 , voting yet kawempe mbogo ss station . people feel waste time stayin . @observerug @ntvuganda #ugandadecides"
2043,"tunnel bear , opera mini , touch vpn favorite workaround blocked wtf uganda #ugandadecides"
2044,ucc blocked . . confirmed #ugandadecides https://t.co/kejuoomqqh
2045,mobile money black real challenge . social medium alternative . #ugandadecides https://t.co/yuplbwym8z
2046,#ugandadecides watching museveni magic hehehe https://t.co/u8xs0ve62a
2047,"uganda communication commission confirms blocking facebook , twitter , whatsapp , mobile money service security reason #ugandadecides"
2048,""" @mablees : #ugandadecides though know won't win , abed bwanika got vote . 4 god & country :) "" @abedbwanika"
2049,teach whole uganda use voip service ! ! download viber first #ugandadecides https://t.co/uc6gepoicl
2050,parliamentary election dokolo south mawogola-sembabule cancelled due mix-up candidate symbol #rcugelects2016 #ugandadecides
