,tweets
73,"ndorwa west [ provisional result ) museveni 23,462 besigye 4,214 #ugandadecides"
74,", #kiggudu i'm hearing ? #ugandadecides https://t.co/yoxqr2w5ji"
75,: #ugandadecides - vote counting lamp light phone light ( image = @murorwa & @mutenyo_p ) https://t.co/979vwybng6
76,nti @ugandaec warns medium publish provisional result guy don't give damn #ugandadecides
77,"observer 4 rm @usmissionuganda still camping nakawa , mubs polling station see nothing go amiss #solidarity #ugandadecides"
78,"2098 registered voter nakasongola , @kagutamuseveni get 3000 vote . maybe cow voted . #ugandadecides @bbcafrica"
79,pardon u ! nato ? ? #peacefirst #ugandadecides https://t.co/mskvremasv
80,"presidential candidate treated like , incredible ! contempt police + power ! #ugandadecides https://t.co/k0w186znhb"
81,provisional result @ makindye military barrack museveni 273 besigye 855 amama mbabazi 15 others 0 #ugandadecides https://t.co/luuxzpi7a5
82,result different constituency started coming . shall update get . #ugandadecides
83,saturday indeed squeaky bum time . . 3 / 3 #ugandadecides #ugandaelections
84,strong wind blow away ballot paper ? #ugandadecides apac
85,"teargas , arrest , delay ballot box , pre-marked ballot paper many thing #ugandadecides #musevenidecides"
86,thanks sharing #trueresults #ugandadecides #topowa https://t.co/mkognjksff
87,"role medium declare result , monitor hope ec know . #ugandadecides https://t.co/xjapfcyn1m"
88,voting say man . #musevenidecides #ugandadecides #gainwithxtiandela @democracyis cc @matsangadr https://t.co/og0iieoacn
89,benefit crime preventer . welcome join #peacefirst #ugandadecides https://t.co/iwwz9yoxna
90,there's something adding provisional result @ntvuganda @nbstv reading #ugandadecides
91,provisional result going lead . . . . . . . #ugandadecides https://t.co/lrtzgubnbu
92,hashtag #ugandadecides losing . . . . it's supposed #musevenidecides
93,internet struggle got realest . realised watsap since 5 . guess need new hack app #ugandadecides
94,watching & hopping btn relevant tv station station given best #ugandadecides coverage btn @nbstv & @ntvuganda
95,"uganda home 28,000 polling station . average , every minute get result 12 polling station , 1 / 3 #ugandadecides"
96,ugandan presidential challenger kizza besigye released https://t.co/7t7sqn3s3z #ugandadecides #besigyearrested https://t.co/wu2k6u6ayd
97,#besigye's chance winning #ugandadecides ?
98,happened nb ? thought got brilliant chap . can't add 1 + 1 ? #ugandadecides
99,"besigye win barrack , doesn't say something security organ contrary believe . #ugandadecides"
100,"@mildredtuhaise reading nakaseke , home town want see sibling voted ? @nbstv #ugandadecides"
101,"someone lying , almost poll say kb ahead , nb say m7 leading 30 % . people make mind ! #ugandadecides"
102,closest contest mbabazi mabirizi . . neck neck #ugandadecides hihihi lol saying #ugandaelections
103,#ugandadecides round applause ugandan across country protecting vote .
104,"wondering , what's going kenya ? lot fomo good tweeps wanting commentary #ugandadecides without depth"
105,"pray kenya one day won't like uganda , rwanda , zimbabwe etc dreading th virus within eac might come kenya #ugandadecides"
106,follow imma tell y'all patient ugandan . c / @kagutamuseveni @matsangadr #gainwithxtiandela #ugandadecides #musevenidecides
107,spectacular flop #jpam #goforward movement . struggling relevance national conversation . dismal result . #ugandadecides
108,"sadly , chaos 2016 election akin 1980 election #ugandadecides ; thing change , remain !"
109,@sebsronnie find run @nbstv professional past . you'll shocked . #ugandadecides
110,"social medium blocked election day #uganda , impeding communication flow information : https://t.co/dygxzzymbq #ugandadecides"
111,@mwesigwarm surely . far away place like kisoro karamoja start voting time part kawempe start afternoon ? #ugandadecides
112,#provisionalresults show nrm candidate parliamentary contestant leading . #ugandadecides @nbstv https://t.co/zbtgs1wxe0
113,"joke year : "" mbabazi force election re-run "" andrew mwenda #ugandadecides"
114,one shot dead oyam district following riot besigye arest according @ntvug #ugandadecides
115,"#ugandadecides : opposition leader @kizzabesigye1 arrested , https://t.co/ylb6tdcmp2"
116,"museveni change , he's steal uganda much & leave poor . wake blinded people ! #ugandadecides"
117,thru @ucc_official @ugandaec tomorrow also public holiday since people still voting ? #kiggundudecides #ugandadecides
118,ask ugandan ! ! ! #ugandadecides #ugandadecides https://t.co/kyj2ndt3p8
119,long 10 k sustain ? #ugandadecides #smallminds https://t.co/23tfxxx367
120,@whitehouse #ugandadecides social network switched gov't hidden agenda . time 4 change
121,"result far 290 20,000 polling station . need atleast 25 % result make prediction #ugandadecides"
122,fuck nb statistic #ugandadecides
123,volunteering without benefit #ugandadecides #peacefirst https://t.co/igk43heug7
124,@nbstv surprised selecting area ! ! ! think ur plan prepare early lead m7 . #ugandadecides
125,"uganda election 2016 live update : chaos , frustration erupts presidential parliamentary poll #ugandadecides"
126,potato please #ugandadecides
127,"delay voting via kampala polling station destruction , primary focus upcountry #thugging . #ugandadecides"
128,"crime intelligence , euphemism ! ! #ugandadecides @bwesigye https://t.co/ekhkcknx8g"
129,patrick onyango said he's enjoying tea home . hehe #panicmode #ugandadecides https://t.co/bzfaihremo
130,oh dear ! messed . #ugandadecides https://t.co/ncwobamrvp
131,lol ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? aren't alone @jssozi ! + u great job getting voice heard w / @enamara & @tmsruge #ugandadecides https://t.co/posp7qu6s7
132,really excited winnie first lady . #ugandadecides
133,@nbstv going ? #ugandadecides https://t.co/s5ri40rpmb
134,wait m7 announces success deciding uganda . #ugandadecides #musevenidecides .
135,moment country stable winner . . . . #ugandadecides
136,hashtag #ugandadecides replaced #musevenidecides . arrest besigye election dy seriously ? m7 dictator
137,#museveni successfully extend near 30 - year rule ? #ugandadecides - @pol_sec_analyst https://t.co/qzs6n4mziq https://t.co/lvedldmeob
138,"must've wing . according kla police spokesman , besigye home drinking tea 30 min ago #ugandadecides https://t.co/ih2vphzrzc"
139,"election tight , kyalya leading amama damn #ugandadecides"
140,#musevenicanbeseneible don't run ruling 30 year #ugandadecides #ugandaelections
